nb0829
Ryan Hildebrandt Thesis Study Final
08/29/2019	09:50:23 AM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
NB	nb0829	nb0829	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	253568							(any response)	NR	0							Satiated							
NB	nb0829	nb0829	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	254647							(any response)	NR	0							Satiated							
NB	nb0829	nb0829	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	255945	Mismatch	/					Match	E	1293							Satiated							
NB	nb0829	nb0829	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	279764							(any response)	NR	0							Satiated							
NB	nb0829	nb0829	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	280842							(any response)	NR	0							Satiated							
NB	nb0829	nb0829	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	282102	Mismatch	/					Match	E	1255							Satiated							
NB	nb0829	nb0829	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	285204							(any response)	NR	0							Primed							
NB	nb0829	nb0829	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	286281							(any response)	NR	0							Primed							
NB	nb0829	nb0829	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	287660	Mismatch	/					Match	E	1374							Primed							
NB	nb0829	nb0829	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	290760							(any response)	NR	0							Primed							
NB	nb0829	nb0829	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	291838							(any response)	NR	0							Primed							
NB	nb0829	nb0829	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	292847	Mismatch	/					Match	E	1004							Primed							
NB	nb0829	nb0829	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	316671							(any response)	NR	0							Satiated							
