nb1028
Ryan Hildebrandt Thesis Study Final
10/28/2019	02:14:51 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
NB	nb1028	nb1028	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	256928							(any response)	NR	0							Satiated							
NB	nb1028	nb1028	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	258006							(any response)	NR	0							Satiated							
NB	nb1028	nb1028	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	260393	Mismatch	/					Mismatch	C	2382							Satiated							
NB	nb1028	nb1028	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	263500							(any response)	NR	0							Primed							
NB	nb1028	nb1028	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	264579							(any response)	NR	0							Primed							
NB	nb1028	nb1028	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	266299	Mismatch	/					Match	E	1719							Primed							
NB	nb1028	nb1028	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	269406							(any response)	NR	0							Primed							
NB	nb1028	nb1028	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	270486							(any response)	NR	0							Primed							
NB	nb1028	nb1028	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	273491							Match	NR	0							Primed							
NB	nb1028	nb1028	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	276598							(any response)	NR	0							Primed							
NB	nb1028	nb1028	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	277676							(any response)	NR	0							Primed							
NB	nb1028	nb1028	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	279259	Match	z					Match	C	1582							Primed							
NB	nb1028	nb1028	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	303093							(any response)	NR	0							Satiated							
NB	nb1028	nb1028	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	304172							(any response)	NR	0							Satiated							
NB	nb1028	nb1028	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	306351	Match	z					Match	C	2174							Satiated							
NB	nb1028	nb1028	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	330177							(any response)	NR	0							Satiated							
