nb0416
Ryan Hildebrandt Thesis Study Final
04/16/2019	12:15:18 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
NB	nb0416	nb0416	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	645905							(any response)	NR	0							Primed							
NB	nb0416	nb0416	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	646979							(any response)	NR	0							Primed							
NB	nb0416	nb0416	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	649004	Match	z					Match	C	2024							Primed							
NB	nb0416	nb0416	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	672835							(any response)	NR	0							Satiated							
NB	nb0416	nb0416	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	673909							(any response)	NR	0							Satiated							
NB	nb0416	nb0416	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	675735	Mismatch	/					Mismatch	C	1821							Satiated							
NB	nb0416	nb0416	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	678842							(any response)	NR	0							Primed							
NB	nb0416	nb0416	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	679915							(any response)	NR	0							Primed							
NB	nb0416	nb0416	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	681597	Match	z					Match	C	1676							Primed							
NB	nb0416	nb0416	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	705437							(any response)	NR	0							Satiated							
NB	nb0416	nb0416	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	706511							(any response)	NR	0							Satiated							
NB	nb0416	nb0416	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	707585	Match	z					Match	C	1068							Satiated							
NB	nb0416	nb0416	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	731432							(any response)	NR	0							Satiated							
NB	nb0416	nb0416	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	732507							(any response)	NR	0							Satiated							
NB	nb0416	nb0416	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	734249	Mismatch	/					Match	E	1741							Satiated							
NB	nb0416	nb0416	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	737352							(any response)	NR	0							Primed							
NB	nb0416	nb0416	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	738430							(any response)	NR	0							Primed							
NB	nb0416	nb0416	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	739919	Match	z					Match	C	1488							Primed							
NB	nb0416	nb0416	Start Screen 1	3	Start Screen	8	Start Screen	153	799153	Match	z					Match; Mismatch	C	59194														
NB	nb0416	nb0416	Neutral	4	Neutral Satiation Match, 1	19	Target NEU.S.M 4 (1, alien)	387	822984							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
NB	nb0416	nb0416	Neutral	4	Neutral Satiation Match, 1	19	Pair 1 NEU.S.M 3 (1, highway)	393	824059							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
NB	nb0416	nb0416	Neutral	4	Neutral Satiation Match, 1	19	Pair 2 NEU.S.M 3 (1, noisy)	398	825265	Match	z					Match	C	1201							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
NB	nb0416	nb0416	Neutral	4	Neutral Satiation Match, 3	21	Target NEU.S.M 4 (3, reptile)	389	849092							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
NB	nb0416	nb0416	Neutral	4	Neutral Satiation Match, 3	21	Pair 1 NEU.S.M 3 (3, cake)	395	850170							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
NB	nb0416	nb0416	Neutral	4	Neutral Satiation Match, 3	21	Pair 2 NEU.S.M 3 (3, cute)	400	851288	Match	z					Match	C	1112							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
NB	nb0416	nb0416	Neutral	4	Neutral Prime Match, 2	10	Target NEU.P.M 2 (2, alley)	168	854399							(any response)	NR	0							Primed	Match	Neutral	Neutral	Neutral	Neutral	Prime	Match
NB	nb0416	nb0416	Neutral	4	Neutral Prime Match, 2	10	Pair 1 NEU.P.M 1 (2, swamp)	174	855476							(any response)	NR	0							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
NB	nb0416	nb0416	Neutral	4	Neutral Prime Match, 2	10	Pair 2 NEU.P.M 1 (2, rancid)	179	856778	Match	z					Match	C	1296							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
NB	nb0416	nb0416	Neutral	4	Neutral Prime Match, 4	12	Target NEU.P.M 2 (4, vanity)	170	859891							(any response)	NR	0							Primed	Match	Neutral	Neutral	Neutral	Neutral	Prime	Match
NB	nb0416	nb0416	Neutral	4	Neutral Prime Match, 4	12	Pair 1 NEU.P.M 1 (4, alone)	176	860966							(any response)	NR	0							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
NB	nb0416	nb0416	Neutral	4	Neutral Prime Match, 4	12	Pair 2 NEU.P.M 1 (4, horror)	181	862898	Match	z					Match	C	1931							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
NB	nb0416	nb0416	Neutral	4	Neutral Satiation Match, 2	20	Target NEU.S.M 4 (2, rough)	388	886734							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
NB	nb0416	nb0416	Neutral	4	Neutral Satiation Match, 2	20	Pair 1 NEU.S.M 3 (2, kiss)	394	887812							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
