pilotb0912
Ryan Hildebrandt Thesis Study Final
09/12/2019	12:45:13 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	396077							(any response)	NR	0							Satiated							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	397152							(any response)	NR	0							Satiated							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	399892	Mismatch	/					Mismatch	C	2735							Satiated							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	402998							(any response)	NR	0							Primed							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	404075							(any response)	NR	0							Primed							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	407078							Match	NR	0							Primed							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	410192							(any response)	NR	0							Primed							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	411267							(any response)	NR	0							Primed							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	413190	Match	z					Match	C	1922							Primed							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	437023							(any response)	NR	0							Satiated							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	438096							(any response)	NR	0							Satiated							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	441097							Match	NR	0							Satiated							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	444213							(any response)	NR	0							Primed							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	445287							(any response)	NR	0							Primed							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	448010	Mismatch	/					Match	E	2722							Primed							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	471840							(any response)	NR	0							Satiated							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	472918							(any response)	NR	0							Satiated							
PilotB	pilotb0912	pilotb0912	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	475507	Mismatch	/					Match	E	2583							Satiated							
PilotB	pilotb0912	pilotb0912	Start Screen 1	3	Start Screen	8	Start Screen	153	525639	Match	z					Match; Mismatch	C	50095														
PilotB	pilotb0912	pilotb0912	Neutral	4	Neutral Satiation Match, 3	21	Target NEU.S.M 4 (3, reptile)	389	549463							(any response)	NR	0							Satiated	Match	Neutral	Neutral	Neutral	Neutral	Satiation	Match
PilotB	pilotb0912	pilotb0912	Neutral	4	Neutral Satiation Match, 3	21	Pair 1 NEU.S.M 3 (3, cake)	395	550537							(any response)	NR	0							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotB	pilotb0912	pilotb0912	Neutral	4	Neutral Satiation Match, 3	21	Pair 2 NEU.S.M 3 (3, cute)	400	552696	Match	z					Match	C	2158							Satiated	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Match (trial)
PilotB	pilotb0912	pilotb0912	Neutral	4	Neutral Prime Match, 5	13	Target NEU.P.M 2 (5, revolt)	171	555800							(any response)	NR	0							Primed	Match	Neutral	Neutral	Neutral	Neutral	Prime	Match
PilotB	pilotb0912	pilotb0912	Neutral	4	Neutral Prime Match, 5	13	Pair 1 NEU.P.M 1 (5, aroused)	177	556878							(any response)	NR	0							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
PilotB	pilotb0912	pilotb0912	Neutral	4	Neutral Prime Match, 5	13	Pair 2 NEU.P.M 1 (5, wealthy)	182	558997	Match	z					Match	C	2118							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
PilotB	pilotb0912	pilotb0912	Neutral	4	Neutral Prime Mismatch, 2	15	Target NEU.P.MM 3 (2, obscene)	197	562106							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
PilotB	pilotb0912	pilotb0912	Neutral	4	Neutral Prime Mismatch, 2	15	Pair 1 NEU.P.MM 2 (2, mystic)	203	563184							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
PilotB	pilotb0912	pilotb0912	Neutral	4	Neutral Prime Mismatch, 2	15	Pair 2 NEU.P.MM 2 (2, diamond)	208	565545	Match	z					Mismatch	E	2355							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
PilotB	pilotb0912	pilotb0912	Neutral	4	Neutral Satiation Mismatch, 4	27	Target NEU.S.MM 5 (4, lump)	581	589375							(any response)	NR	0							Satiated	Mismatch	Neutral	Neutral	Neutral	Neutral	Satiation	Mismatch
PilotB	pilotb0912	pilotb0912	Neutral	4	Neutral Satiation Mismatch, 4	27	Pair 1 NEU.S.MM 4 (4, snuggle)	587	590448							(any response)	NR	0							Satiated	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Satiation (trial)	Mismatch (trial)
