nb0418
Ryan Hildebrandt Thesis Study Final
04/18/2019	12:18:19 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
NB	nb0418	nb0418	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	1000838							(any response)	NR	0							Primed							
NB	nb0418	nb0418	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	1001915							(any response)	NR	0							Primed							
NB	nb0418	nb0418	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	1004240	Match	z					Match	C	2320							Primed							
NB	nb0418	nb0418	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	1028068							(any response)	NR	0							Satiated							
NB	nb0418	nb0418	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	1029146							(any response)	NR	0							Satiated							
NB	nb0418	nb0418	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	1030578	Mismatch	/					Mismatch	C	1432							Satiated							
NB	nb0418	nb0418	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	1054413							(any response)	NR	0							Satiated							
NB	nb0418	nb0418	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	1055491							(any response)	NR	0							Satiated							
NB	nb0418	nb0418	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	1056882	Match	z					Match	C	1391							Satiated							
NB	nb0418	nb0418	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	1059985							(any response)	NR	0							Primed							
NB	nb0418	nb0418	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	1061063							(any response)	NR	0							Primed							
NB	nb0418	nb0418	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	1062192	Mismatch	/					Match	E	1128							Primed							
NB	nb0418	nb0418	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	1065290							(any response)	NR	0							Primed							
NB	nb0418	nb0418	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	1066370							(any response)	NR	0							Primed							
NB	nb0418	nb0418	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	1068345	Match	z					Match	C	1974							Primed							
NB	nb0418	nb0418	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	1092169							(any response)	NR	0							Satiated							
NB	nb0418	nb0418	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	1093249							(any response)	NR	0							Satiated							
NB	nb0418	nb0418	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	1095167	Match	z					Match	C	1917							Satiated							
NB	nb0418	nb0418	Start Screen 1	3	Start Screen	8	Start Screen	153	1121370	Match	z					Match; Mismatch	C	26162														
NB	nb0418	nb0418	Neutral	4	Neutral Prime Mismatch, 4	17	Target NEU.P.MM 3 (4, hard)	199	1124456							(any response)	NR	0							Primed	Mismatch	Neutral	Neutral	Neutral	Neutral	Prime	Mismatch
NB	nb0418	nb0418	Neutral	4	Neutral Prime Mismatch, 4	17	Pair 1 NEU.P.MM 2 (4, puppy)	205	1125535							(any response)	NR	0							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
NB	nb0418	nb0418	Neutral	4	Neutral Prime Mismatch, 4	17	Pair 2 NEU.P.MM 2 (4, abuse)	210	1126837	Mismatch	/					Mismatch	C	1296							Primed	Mismatch	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Mismatch (trial)
NB	nb0418	nb0418	Neutral	4	Neutral Prime Match, 5	13	Target NEU.P.M 2 (5, revolt)	171	1129950							(any response)	NR	0							Primed	Match	Neutral	Neutral	Neutral	Neutral	Prime	Match
NB	nb0418	nb0418	Neutral	4	Neutral Prime Match, 5	13	Pair 1 NEU.P.M 1 (5, aroused)	177	1131024							(any response)	NR	0							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
NB	nb0418	nb0418	Neutral	4	Neutral Prime Match, 5	13	Pair 2 NEU.P.M 1 (5, wealthy)	182	1132744	Match	z					Match	C	1714							Primed	Match	Neutral (trial)	Neutral (trial)	Neutral	Neutral	Prime (trial)	Match (trial)
