na1030
Ryan Hildebrandt Thesis Study Final
10/29/2019	05:15:59 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
NA	na1030	na1030	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	375621							(any response)	NR	0							Primed							
NA	na1030	na1030	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	376696							(any response)	NR	0							Primed							
NA	na1030	na1030	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	377795	Mismatch	/					Match	E	1098							Primed							
NA	na1030	na1030	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	401629							(any response)	NR	0							Satiated							
NA	na1030	na1030	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	402708							(any response)	NR	0							Satiated							
NA	na1030	na1030	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	405710							Match	NR	0							Satiated							
NA	na1030	na1030	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	408824							(any response)	NR	0							Primed							
NA	na1030	na1030	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	409899							(any response)	NR	0							Primed							
NA	na1030	na1030	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	412901							Match	NR	0							Primed							
NA	na1030	na1030	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	436735							(any response)	NR	0							Satiated							
NA	na1030	na1030	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	437813							(any response)	NR	0							Satiated							
NA	na1030	na1030	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	438863	Match	z					Match	C	1049							Satiated							
NA	na1030	na1030	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	441978							(any response)	NR	0							Primed							
NA	na1030	na1030	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	443052							(any response)	NR	0							Primed							
NA	na1030	na1030	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	445230	Mismatch	/					Match	E	2177							Primed							
NA	na1030	na1030	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	469058							(any response)	NR	0							Satiated							
