na1031
Ryan Hildebrandt Thesis Study Final
10/31/2019	12:54:47 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
NA	na1031	na1031	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	248552							(any response)	NR	0							Satiated							
NA	na1031	na1031	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	249631							(any response)	NR	0							Satiated							
NA	na1031	na1031	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	251128	Match	z					Match	C	1497							Satiated							
NA	na1031	na1031	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	274948							(any response)	NR	0							Satiated							
NA	na1031	na1031	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	276026							(any response)	NR	0							Satiated							
NA	na1031	na1031	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	277274	Mismatch	/					Match	E	1243							Satiated							
NA	na1031	na1031	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	280370							(any response)	NR	0							Primed							
NA	na1031	na1031	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	281449							(any response)	NR	0							Primed							
NA	na1031	na1031	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	282550	Match	z					Match	C	1100							Primed							
NA	na1031	na1031	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	285660							(any response)	NR	0							Primed							
NA	na1031	na1031	Practice	2	PRACTICE P, 1	2	Pair 1 PRACTICE (1, laugh)	20	286737							(any response)	NR	0							Primed							
NA	na1031	na1031	Practice	2	PRACTICE P, 1	2	Pair 2 PRACTICE (1, water)	23	287826	Mismatch	/					Match	E	1088							Primed							
NA	na1031	na1031	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	290933							(any response)	NR	0							Primed							
NA	na1031	na1031	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	292010							(any response)	NR	0							Primed							
NA	na1031	na1031	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	293407	Mismatch	/					Match	E	1396							Primed							
NA	na1031	na1031	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	317229							(any response)	NR	0							Satiated							
NA	na1031	na1031	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	318306							(any response)	NR	0							Satiated							
