pilotb1008
Ryan Hildebrandt Thesis Study Final
10/08/2019	04:37:19 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
PilotB	pilotb1008	pilotb1008	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	239980							(any response)	NR	0							Satiated							
PilotB	pilotb1008	pilotb1008	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	241057							(any response)	NR	0							Satiated							
PilotB	pilotb1008	pilotb1008	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	243456	Match	z					Mismatch	E	2393							Satiated							
PilotB	pilotb1008	pilotb1008	Practice	2	PRACTICE P, 2	3	Target PRACTICE 2 (2, book)	17	246574							(any response)	NR	0							Primed							
PilotB	pilotb1008	pilotb1008	Practice	2	PRACTICE P, 2	3	Pair 1 PRACTICE (2, evil)	21	247648							(any response)	NR	0							Primed							
PilotB	pilotb1008	pilotb1008	Practice	2	PRACTICE P, 2	3	Pair 2 PRACTICE (2, disaster)	24	249914	Match	z					Match	C	2265							Primed							
PilotB	pilotb1008	pilotb1008	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	253032							(any response)	NR	0							Primed							
PilotB	pilotb1008	pilotb1008	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	254105							(any response)	NR	0							Primed							
PilotB	pilotb1008	pilotb1008	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	256068	Mismatch	/					Match	E	1962							Primed							
PilotB	pilotb1008	pilotb1008	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	279888							(any response)	NR	0							Satiated							
