nb1017
Ryan Hildebrandt Thesis Study Final
10/17/2019	01:31:18 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant			Pressed Or	X	Y	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II	Repetitions
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	Key	Key	Released	Position	Position	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Primed/Satiated	Match/Mismatch	Valence	Word Type	Pair Type	Block Valence	Trial Type	Word Pair Valence
NB	nb1017	nb1017	Practice	2	PRACTICE S, 1	5	Target PRACTICE31 (1, bulbs)	143	440619							(any response)	NR	0							Satiated							
NB	nb1017	nb1017	Practice	2	PRACTICE S, 1	5	Pair 1 PRACTICE 1 (1, cake)	147	441696							(any response)	NR	0							Satiated							
NB	nb1017	nb1017	Practice	2	PRACTICE S, 1	5	Pair 2 PRACTICE 1 (1, overjoyed)	150	443898	Match	z					Match	C	2201							Satiated							
NB	nb1017	nb1017	Practice	2	PRACTICE P, 3	4	Target PRACTICE 2 (3, stork)	18	447009							(any response)	NR	0							Primed							
NB	nb1017	nb1017	Practice	2	PRACTICE P, 3	4	Pair 1 PRACTICE (3, drive)	22	448087							(any response)	NR	0							Primed							
NB	nb1017	nb1017	Practice	2	PRACTICE P, 3	4	Pair 2 PRACTICE (3, burger)	25	450582	Mismatch	/					Match	E	2494							Primed							
NB	nb1017	nb1017	Practice	2	PRACTICE S, 2	6	Target PRACTICE31 (2, shirt)	144	474405							(any response)	NR	0							Satiated							
NB	nb1017	nb1017	Practice	2	PRACTICE S, 2	6	Pair 1 PRACTICE 1 (2, golfer)	148	475483							(any response)	NR	0							Satiated							
NB	nb1017	nb1017	Practice	2	PRACTICE S, 2	6	Pair 2 PRACTICE 1 (2, moose)	151	477976	Mismatch	/					Match	E	2487							Satiated							
NB	nb1017	nb1017	Practice	2	PRACTICE S, 3	7	Target PRACTICE31 (3, drag)	145	501803							(any response)	NR	0							Satiated							
NB	nb1017	nb1017	Practice	2	PRACTICE S, 3	7	Pair 1 PRACTICE 1 (3, attack)	149	502881							(any response)	NR	0							Satiated							
NB	nb1017	nb1017	Practice	2	PRACTICE S, 3	7	Pair 2 PRACTICE 1 (3, butter)	152	504876	Mismatch	/					Mismatch	C	1994							Satiated							
NB	nb1017	nb1017	Practice	2	PRACTICE P, 1	2	Target PRACTICE 2 (1, cheese)	16	507976							(any response)	NR	0							Primed							
